"Gear_name","Gear_code","Activity_.s.m2.d.","Plough_rate_.m2.s."
"Mollusc_dredge","MD",4.46045873641221e-09,22.4
"Harpoons","Harp",1.27536380728929e-09,0
"Kelp_harvester","KH",1,0
"Longlines+Gillnets","LLGN",1.76419901219011e-06,0
"Pelagic_trawl+seine","PTS",3.53567444576561e-06,0
"Creels","CR",1.59629969304342e-09,0
"Recreational","Rec",3.02221100634843e-05,0
"Seiners","Sein",1.11725687530335e-07,0
"Shelf_Trawlers","ST",2.69574872807557e-06,17.1
"Blank2","B2",0,0
"Blank3","B3",0,22.4
"Blank4","B4",0,13.5
