"Gear_name","Gear_code","Power_PF","Power_DF","Power_MF","Power_FDB","Power_CSB","Power_CZ","Power_BD","Power_SL","Power_CT","Power_KP"
"Mollusc_dredge","MD",0,114.670742361347,0,195.624793865273,0,0,0,0,0,0
"Harpoons","Harp",0,0,0,0,0,0,0,0,385.251161070771,0
"Kelp_harvester","KH",0,0,0,0,0,0,0,0,0,0.000236479537713223
"Longlines+Gillnets","LLGN",69.4315479795694,668.411484045716,156.301960580845,0,2.20450581110846e-05,1.83965304651986e-05,0.404587454111313,0.690648625601398,2.36872398628206,0
"Pelagic_trawl+seine","PTS",102.832474592545,2.03384135049409,47.3985201884822,0,1.89684162988528e-06,9.62581697522532e-05,0,0,0,0
"Creels","CR",0,2.61432438917199,0,0.353737826968958,19.0985359861736,0,0,0,0,0
"Recreational","Rec",0,2.95262893685513,0.0191401204991264,0,0,0,0,0,0,0
"Seiners","Sein",8880.15884371681,536.514439428459,6459.54383643653,2.2319758119561e-06,0.000274998079117686,0.000320845078162116,0,0,0.00732552141555285,0
"Shelf_Trawlers","ST",77.3300566600078,101.087085961162,15.37426942898,1.33374713878423e-06,0.0318229105719501,0.0034582051315107,0,0,0.000144152114764151,0
"Blank2","B2",0,0,0,0,0,0,0,0,0,0
"Blank3","B3",0,0,0,0,0,0,0,0,0,0
"Blank4","B4",0,0,0,0,0,0,0,0,0,0
