Gear_name,Gear_code,Power_PF,Power_DF,Power_MF,Power_FDB,Power_CSB,Power_CZ,Power_BD,Power_SL,Power_CT,Power_KP
Mollusc_dredge,MD,263181.0707,458251.2822,52731.62707,7641.604269,22924.81281,9555.80335,0,0,0,0
Harpoons,Harp,0,0,0,0,0,0,0,0,385.2511611,0
Kelp_harvester,KH,0,0,0,0,0,0,0,0,0,0
Longlines+Gillnets,LLGN,343.8612063,625.3452466,69.24479152,9.974045686,29.92224514,12.47252428,0,0,0.000209291,0
Pelagic_trawl+seine,PTS,2270.105212,2301.758185,1492.506268,37.17642843,111.5323188,46.50828221,0,0,0.000707436,0
Creels,CR,133446.769,232314.3693,26738.19394,3875.01084,11641.10924,4845.382883,0,0,0,0
Recreational,Rec,0,2.959993593,0.010372385,0,0,0,0,0,0,0
Shelf_Trawlers,ST,457.8683917,897.2315672,104.7771755,11.0755208,33.25230284,13.86244706,0,0,0.000120572,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
