Gear_name,Gear_code,Propgutted_PF,Propgutted_DF,Propgutted_MF,Propgutted_FDB,Propguttede_CSB,Propgutted_CZ,Propgutted_BD,Propgutted_SL,Propgutted_CT,Propgutted_KP
Mollusc_dredge,MD,0,0,0,0,0,0,0,0,0,0
Harpoons,Harp,0,0,0,0,0,0,0,0,0,0
Kelp_harvester,KH,0,0,0,0,0,0,0,0,0,0
Longlines+Gillnets,LLGN,0,0.5,0.5,0,0,0,0,0,0,0
Pelagic_trawl+seine,PTS,0,0,0,0,0,0,0,0,0,0
Creels,CR,0,0,0,0,0,0,0,0,0,0
Recreational,Rec,0,0,0,0,0,0,0,0,0,0
Shelf_Trawlers,ST,0,0.5,0.5,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0
